0.0853983,0.084871,0.0755709,0.0684625,0.0857129,0.0875722,0.0849445,0.0821206,0.0984169,0.111657,0.110478,0.105296
0.0699251,0.0782403,0.0747598,0.083223,0.0777606,0.0625377,0.0844605,0.0799704,0.0859384,0.0921889,0.0728809,0.074225
0.0644009,0.0484497,0.055129,0.0662351,0.0622051,0.0637222,0.0800076,0.0748143,0.0804027,0.0810511,0.0552948,0.0405619
0.0794069,0.0665557,0.0549371,0.0619037,0.0520561,0.036671,0.0545155,0.0456545,0.033834,0.0400195,0.0275838,0.0330385
0.0636703,0.0438218,0.0365,0.0437662,0.0609155,0.0603696,0.0299556,0.0249297,0.0522856,0.0434052,0.0273396,0.0336361
0.0628301,0.0433864,0.0287801,0.0406781,0.0574435,0.0684798,0.0458108,0.0379326,0.0564139,0.0776851,0.0380567,0.0453459
0.0539928,0.0464405,0.0345025,0.0316952,0.0440957,0.0713267,0.0486365,0.0287875,0.0516934,0.0684436,0.0391238,0.0352228
0.0645967,0.0553665,0.0533708,0.0344379,0.0318408,0.0573443,0.0466754,0.0371131,0.0503074,0.0629232,0.0350871,0.0271944
0.0924512,0.0867204,0.0768018,0.0718586,0.0682824,0.076678,0.069598,0.0510278,0.0502012,0.0318106,0.0235804,0.0558393
0.049944,0.0693615,0.0603909,0.0783946,0.0828771,0.0656975,0.0375082,0.0720503,0.0603731,0.0272679,0.04836,0.0539121
0.0320364,0.029259,0.0441227,0.0522265,0.0866707,0.0766376,0.0406064,0.040329,0.0451711,0.0369345,0.0307927,0.0329794
0.0357328,0.0374495,0.0270799,0.0261664,0.0499398,0.0496736,0.0226496,0.0350398,0.036965,0.0412115,0.0339681,0.0290605
0.0333879,0.0320856,0.0267495,0.0303139,0.0417669,0.0396208,0.0317569,0.0314783,0.0301749,0.0222465,0.0318332,0.0303577
0.0260536,0.0251312,0.016797,0.0292724,0.0354457,0.0226256,0.0234693,0.0239897,0.0266019,0.0341473,0.0274947,0.0268148
0.0275585,0.0160823,0.0162761,0.0243207,0.0266931,0.0280224,0.0239726,0.0134307,0.0195982,0.0344527,0.0392706,0.026173
0.0263691,0.0309393,0.0423522,0.0464125,0.0374358,0.0443932,0.0317603,0.0175659,0.0242858,0.0306439,0.0291753,0.0204198
0.020569,0.0140437,0.0347362,0.0537063,0.0415209,0.0537463,0.0407099,0.0324695,0.0244856,0.0333794,0.0276572,0.0241309
0.0174409,0.0170728,0.0397805,0.0537729,0.0370506,0.0585083,0.0414862,0.0299506,0.0189142,0.0261312,0.0184448,0.026128
0.0324426,0.0340958,0.0536318,0.0516267,0.0269387,0.0531478,0.0282204,0.0306985,0.0302258,0.023972,0.0271372,0.0294726
0.0251333,0.0271042,0.0329378,0.0285191,0.0288202,0.062077,0.0353277,0.0311099,0.0270067,0.0284884,0.0175847,0.0105497
